danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,hit,bars,beats,sections,segments,tatums
0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,audio_features,6ZLGthToczpvnL5Eoy6yrY,spotify:track:6ZLGthToczpvnL5Eoy6yrY,https://api.spotify.com/v1/tracks/6ZLGthToczpvnL5Eoy6yrY,https://api.spotify.com/v1/audio-analysis/6ZLGthToczpvnL5Eoy6yrY,268747,4,2000,1,0.4130283735236608,1.6558344704326942,0.04465171605661198,3.735860243403202,3.3116689408653883
0.761,0.662,6,-7.645,0,0.0548,0.292,6.19e-05,0.0956,0.631,120.043,audio_features,3eXI3pYpiY1nRwhvW0c8Qi,spotify:track:3eXI3pYpiY1nRwhvW0c8Qi,https://api.spotify.com/v1/tracks/3eXI3pYpiY1nRwhvW0c8Qi,https://api.spotify.com/v1/audio-analysis/3eXI3pYpiY1nRwhvW0c8Qi,207867,4,2000,1,0.49550993432472845,1.9772289612375087,0.0481077606140513,3.8919178336767506,3.9544579224750174
0.55,0.581,2,-6.253,1,0.0325,0.367,0.0,0.122,0.475,165.981,audio_features,2Dp2LRrY71XIfLe3co2Qnh,spotify:track:2Dp2LRrY71XIfLe3co2Qnh,https://api.spotify.com/v1/tracks/2Dp2LRrY71XIfLe3co2Qnh,https://api.spotify.com/v1/audio-analysis/2Dp2LRrY71XIfLe3co2Qnh,283507,4,2000,1,0.6701782123793344,2.694821864514797,0.04938155249110885,3.566053540607932,5.389643729029594
0.597,0.793,7,-7.006,1,0.0361,0.0123,5.45e-06,0.157,0.755,167.2,audio_features,6MnWfOgKRkQtY1pRgoTwB1,spotify:track:6MnWfOgKRkQtY1pRgoTwB1,https://api.spotify.com/v1/tracks/6MnWfOgKRkQtY1pRgoTwB1,https://api.spotify.com/v1/audio-analysis/6MnWfOgKRkQtY1pRgoTwB1,243266,4,2000,1,0.690603249337617,2.758302263723458,0.04521806989710587,3.9956330854533553,5.516604527446916
0.682,0.743,9,-10.644,0,0.165,0.35,0.000129,0.277,0.546,127.962,audio_features,6h9AH81lpDbjcsBz2ClqAE,spotify:track:6h9AH81lpDbjcsBz2ClqAE,https://api.spotify.com/v1/tracks/6h9AH81lpDbjcsBz2ClqAE,https://api.spotify.com/v1/audio-analysis/6h9AH81lpDbjcsBz2ClqAE,318280,4,2000,1,0.5058439110217419,2.007666205856479,0.02199321352268443,3.839386703531482,4.015332411712958
0.634,0.886,9,-5.424,1,0.0434,0.154,0.0,0.118,0.577,93.04,audio_features,5s4catxeZsaWFnOrvrXZHf,spotify:track:5s4catxeZsaWFnOrvrXZHf,https://api.spotify.com/v1/tracks/5s4catxeZsaWFnOrvrXZHf,https://api.spotify.com/v1/audio-analysis/5s4catxeZsaWFnOrvrXZHf,241373,4,2000,1,0.38115228467236684,1.5328950579214755,0.041429596160039876,3.8529524428837085,3.065790115842951
0.471,0.514,1,-5.599,1,0.0315,0.584,0.0,0.103,0.373,117.338,audio_features,3dfW4YCs9Wvm83csZRpmbA,spotify:track:3dfW4YCs9Wvm83csZRpmbA,https://api.spotify.com/v1/tracks/3dfW4YCs9Wvm83csZRpmbA,https://api.spotify.com/v1/audio-analysis/3dfW4YCs9Wvm83csZRpmbA,199480,4,2000,1,0.48125125325847207,1.9300180469219972,0.03509123721676359,3.1933025867254865,3.8600360938439944
0.708,0.772,7,-4.264,1,0.0322,0.0267,0.0,0.467,0.861,103.035,audio_features,4pbyDPjFgfPqFTcIMC8xpK,spotify:track:4pbyDPjFgfPqFTcIMC8xpK,https://api.spotify.com/v1/tracks/4pbyDPjFgfPqFTcIMC8xpK,https://api.spotify.com/v1/audio-analysis/4pbyDPjFgfPqFTcIMC8xpK,258560,4,2000,1,0.4215655940594059,1.6901299504950495,0.04254331683168317,3.821163366336634,3.380259900990099
0.746,0.965,0,-5.263,0,0.113,0.38,0.00547,0.621,0.915,131.861,audio_features,2Np6ZbVFXfhlk3Oin6i92t,spotify:track:2Np6ZbVFXfhlk3Oin6i92t,https://api.spotify.com/v1/tracks/2Np6ZbVFXfhlk3Oin6i92t,https://api.spotify.com/v1/audio-analysis/2Np6ZbVFXfhlk3Oin6i92t,230133,4,2000,1,0.5344727771505327,2.1509270299960463,0.039107764181746295,4.762456615910438,4.301854059992093
0.655,0.791,0,-8.923,1,0.0302,0.1,0.000126,0.334,0.862,118.981,audio_features,1vlTMKVV0FxG6CxGTmSY3t,spotify:track:1vlTMKVV0FxG6CxGTmSY3t,https://api.spotify.com/v1/tracks/1vlTMKVV0FxG6CxGTmSY3t,https://api.spotify.com/v1/audio-analysis/1vlTMKVV0FxG6CxGTmSY3t,234827,4,2000,1,0.48972288838729905,1.9674084733472363,0.042584598990199916,3.6111739943689534,3.9348169466944727
0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,audio_features,49X0LAl6faAusYq02PRAY6,spotify:track:49X0LAl6faAusYq02PRAY6,https://api.spotify.com/v1/tracks/49X0LAl6faAusYq02PRAY6,https://api.spotify.com/v1/audio-analysis/49X0LAl6faAusYq02PRAY6,307154,4,2000,1,0.5209120805892661,2.0803926218533815,0.0488355075552437,4.639373217748151,4.160785243706763
0.631,0.734,5,-7.48,0,0.036,0.348,0.0,0.135,0.591,124.036,audio_features,3afv9TL8ixr4T9VbiKnrwe,spotify:track:3afv9TL8ixr4T9VbiKnrwe,https://api.spotify.com/v1/tracks/3afv9TL8ixr4T9VbiKnrwe,https://api.spotify.com/v1/audio-analysis/3afv9TL8ixr4T9VbiKnrwe,273533,4,2000,1,0.5118206252963762,2.0472825011855047,0.04387033931111796,3.8569339977691204,4.094565002371009
0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,audio_features,69XUpOpjzDKcfdxqZebGiI,spotify:track:69XUpOpjzDKcfdxqZebGiI,https://api.spotify.com/v1/tracks/69XUpOpjzDKcfdxqZebGiI,https://api.spotify.com/v1/audio-analysis/69XUpOpjzDKcfdxqZebGiI,221133,4,2000,1,0.4024721194222508,1.618932794979391,0.040699427806744466,4.268917761062975,3.237865589958782
0.599,0.47,1,-8.356,1,0.0376,0.38,0.0,0.111,0.298,127.177,audio_features,4Do68W4FWO2hRAJCzG1lus,spotify:track:4Do68W4FWO2hRAJCzG1lus,https://api.spotify.com/v1/tracks/4Do68W4FWO2hRAJCzG1lus,https://api.spotify.com/v1/audio-analysis/4Do68W4FWO2hRAJCzG1lus,273707,4,2000,1,0.5188035790286003,2.082521408776776,0.029228370649498608,3.2991523370621554,4.165042817553552
0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,audio_features,2TTYIwTM2iLC1YOyHuhRMt,spotify:track:2TTYIwTM2iLC1YOyHuhRMt,https://api.spotify.com/v1/tracks/2TTYIwTM2iLC1YOyHuhRMt,https://api.spotify.com/v1/audio-analysis/2TTYIwTM2iLC1YOyHuhRMt,206227,4,2000,1,0.38792266781013335,1.5565397045881602,0.04364130012864,3.2391542762146135,3.1130794091763203
0.808,0.982,3,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999,audio_features,4fazGt0v2v2zkzddQOcDZD,spotify:track:4fazGt0v2v2zkzddQOcDZD,https://api.spotify.com/v1/tracks/4fazGt0v2v2zkzddQOcDZD,https://api.spotify.com/v1/audio-analysis/4fazGt0v2v2zkzddQOcDZD,228140,4,2000,1,0.5172257431317572,2.0689029725270287,0.03944942108632046,4.418335161667891,4.137805945054057
0.472,0.532,10,-5.882,1,0.0319,0.586,0.0,0.106,0.152,129.777,audio_features,1RS3LStQYhju50eBdD9Uul,spotify:track:1RS3LStQYhju50eBdD9Uul,https://api.spotify.com/v1/tracks/1RS3LStQYhju50eBdD9Uul,https://api.spotify.com/v1/audio-analysis/1RS3LStQYhju50eBdD9Uul,257360,4,2000,1,0.5323282561392602,2.1293130245570406,0.04274168479950264,3.217283183089835,4.258626049114081
0.532,0.525,4,-6.812,1,0.0295,0.0467,0.0,0.053,0.536,75.993,audio_features,5h9etcHD1K0OTljIAIw0Kh,spotify:track:5h9etcHD1K0OTljIAIw0Kh,https://api.spotify.com/v1/tracks/5h9etcHD1K0OTljIAIw0Kh,https://api.spotify.com/v1/audio-analysis/5h9etcHD1K0OTljIAIw0Kh,235067,4,2000,1,0.3148043063697631,1.2422007764860923,0.03403289798592034,3.411798023088514,2.4844015529721846
0.761,0.716,10,-5.8,0,0.056,0.398,0.0,0.0771,0.649,119.406,audio_features,583xVl0Sbj93uU4ceixgU8,spotify:track:583xVl0Sbj93uU4ceixgU8,https://api.spotify.com/v1/tracks/583xVl0Sbj93uU4ceixgU8,https://api.spotify.com/v1/audio-analysis/583xVl0Sbj93uU4ceixgU8,245400,4,2000,1,0.4889975550122249,1.9600651996740015,0.040749796251018745,3.4881825590872046,3.920130399348003
0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017,audio_features,6iiaDMXr1eqnSEH9W4DLYC,spotify:track:6iiaDMXr1eqnSEH9W4DLYC,https://api.spotify.com/v1/tracks/6iiaDMXr1eqnSEH9W4DLYC,https://api.spotify.com/v1/audio-analysis/6iiaDMXr1eqnSEH9W4DLYC,214819,4,2000,1,0.5074029390547158,2.0389219018895917,0.05120580118900801,4.06387858527309,4.077843803779183
0.683,0.748,8,-6.981,1,0.0366,0.373,0.00881,0.06,0.828,132.486,audio_features,0UzsDmdpw0Q14KU4hieQss,spotify:track:0UzsDmdpw0Q14KU4hieQss,https://api.spotify.com/v1/tracks/0UzsDmdpw0Q14KU4hieQss,https://api.spotify.com/v1/audio-analysis/0UzsDmdpw0Q14KU4hieQss,257200,4,2000,1,0.5404354587869362,2.181181959564541,0.04276827371695179,4.669517884914463,4.362363919129082
0.385,0.443,7,-9.627,0,0.0295,0.0632,0.0,0.0898,0.275,151.278,audio_features,65B1tEOv5W294uCKbmEcFV,spotify:track:65B1tEOv5W294uCKbmEcFV,https://api.spotify.com/v1/tracks/65B1tEOv5W294uCKbmEcFV,https://api.spotify.com/v1/audio-analysis/65B1tEOv5W294uCKbmEcFV,294533,4,2000,1,0.614531469154951,2.4513354736457162,0.030556813383395356,2.889316465474383,4.9026709472914325
0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903,audio_features,7A0apkTSTvMbSI7yplcmlh,spotify:track:7A0apkTSTvMbSI7yplcmlh,https://api.spotify.com/v1/tracks/7A0apkTSTvMbSI7yplcmlh,https://api.spotify.com/v1/audio-analysis/7A0apkTSTvMbSI7yplcmlh,203333,4,2000,1,0.4918032867508736,1.972131179871003,0.03934426294006989,4.1754099045149164,3.944262359742006
0.689,0.685,3,-5.153,1,0.0478,0.0921,0.0,0.119,0.398,160.067,audio_features,79EAVfOpzgfHx3IE2BVFQv,spotify:track:79EAVfOpzgfHx3IE2BVFQv,https://api.spotify.com/v1/tracks/79EAVfOpzgfHx3IE2BVFQv,https://api.spotify.com/v1/audio-analysis/79EAVfOpzgfHx3IE2BVFQv,294200,4,2000,1,0.6594153636981646,2.6240652617267166,0.04418762746430999,4.140040788579198,5.248130523453433
0.628,0.834,6,-6.341,0,0.0497,0.403,0.0,0.051,0.626,97.865,audio_features,2AogRMqARWyUP7VQ3gmSoY,spotify:track:2AogRMqARWyUP7VQ3gmSoY,https://api.spotify.com/v1/tracks/2AogRMqARWyUP7VQ3gmSoY,https://api.spotify.com/v1/audio-analysis/2AogRMqARWyUP7VQ3gmSoY,215507,4,2000,1,0.3990595743509934,1.600878525012706,0.04176204847859233,3.415207520027106,3.201757050025412
0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,audio_features,0zjORbo98bRxMmyS3wzeKW,spotify:track:0zjORbo98bRxMmyS3wzeKW,https://api.spotify.com/v1/tracks/0zjORbo98bRxMmyS3wzeKW,https://api.spotify.com/v1/audio-analysis/0zjORbo98bRxMmyS3wzeKW,210787,4,2000,1,0.5360870305508408,2.158580521244536,0.0426971971235183,5.175849117973162,4.317161042489072
0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,audio_features,64BbK9SFKH2jk86U3dGj2P,spotify:track:64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/tracks/64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/audio-analysis/64BbK9SFKH2jk86U3dGj2P,255373,4,2000,1,0.5168902908972408,2.063645328051863,0.04699002644520371,2.90946580406553,4.127290656103726
0.541,0.775,2,-8.041,1,0.0297,0.00151,0.000222,0.178,0.271,98.992,audio_features,2O2mr2gzBRtKGRiswqRyiN,spotify:track:2O2mr2gzBRtKGRiswqRyiN,https://api.spotify.com/v1/tracks/2O2mr2gzBRtKGRiswqRyiN,https://api.spotify.com/v1/audio-analysis/2O2mr2gzBRtKGRiswqRyiN,363800,4,2000,1,0.4068169323804288,1.6245189664650908,0.02748763056624519,3.8015393073117094,3.2490379329301815
0.728,0.94,4,-5.034,1,0.0368,0.0814,0.000162,0.109,0.967,113.76,audio_features,1sxUaLi0G2vB7dl4ogtCxH,spotify:track:1sxUaLi0G2vB7dl4ogtCxH,https://api.spotify.com/v1/tracks/1sxUaLi0G2vB7dl4ogtCxH,https://api.spotify.com/v1/audio-analysis/1sxUaLi0G2vB7dl4ogtCxH,237240,4,2000,1,0.47209576799865116,1.8799527904232,0.046366548642724666,3.498566852132861,3.7599055808464
0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,audio_features,4l1MNtoCiTxBwf6yxD7kFd,spotify:track:4l1MNtoCiTxBwf6yxD7kFd,https://api.spotify.com/v1/tracks/4l1MNtoCiTxBwf6yxD7kFd,https://api.spotify.com/v1/audio-analysis/4l1MNtoCiTxBwf6yxD7kFd,243533,4,2000,1,0.34492198665373647,1.383794160741776,0.05338078364879255,4.463454755864423,2.767588321483552
0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,audio_features,2fzykVsO2Di5jnofUNX3YE,spotify:track:2fzykVsO2Di5jnofUNX3YE,https://api.spotify.com/v1/tracks/2fzykVsO2Di5jnofUNX3YE,https://api.spotify.com/v1/audio-analysis/2fzykVsO2Di5jnofUNX3YE,225973,4,2000,1,0.49120840941716437,1.973684239640138,0.039827708871661975,4.212886538424689,3.947368479280276
